,video,description
0,mixkit-mother-and-daughter-walking-through-the-park-25120.mp4,Mother and daughter walking through the park
0,mixkit-woman-with-corgi-dog-on-a-picnic-day-25107.mp4,Woman with corgi dog on a picnic day
0,mixkit-woman-with-corgi-dog-in-the-park-25023.mp4,Woman with corgi dog in the park
0,mixkit-a-woman-and-her-dog-enjoying-the-park-25022.mp4,A woman and her dog enjoying the park
0,mixkit-pet-dog-waiting-by-the-bed-24982.mp4,Pet dog waiting by the bed
0,mixkit-out-for-a-run-with-her-pet-dog-24938.mp4,Out for a run with her pet dog
0,mixkit-woman-exercising-as-the-sun-goes-down-24933.mp4,Woman exercising as the sun goes down
0,mixkit-husky-looking-out-across-a-garden-22393.mp4,Husky looking out across a garden
0,mixkit-taking-the-dogs-through-a-snow-covered-park-22316.mp4,Taking the dogs through a snow covered park
0,mixkit-woman-and-her-dog-spending-time-together-21672.mp4,Woman and her dog spending time together
0,mixkit-dog-tied-to-his-leash-on-the-street-19543.mp4,Dog tied to his leash on the street
0,mixkit-taking-a-photo-with-her-dog-17124.mp4,Taking a photo with her dog
0,mixkit-woman-relaxing-with-her-dog-17122.mp4,Woman relaxing with her dog
0,mixkit-pet-owner-caressing-a-little-cute-dog-1658.mp4,A person caresses and pampers a hairy dog ​​that is lying on its back on a towel.
0,mixkit-a-persons-hand-caressing-a-dog-1559.mp4,A person's hand caressing a dog's paw while it is resting in the grass.
0,mixkit-a-girl-petting-a-collie-dog-in-the-park-1554.mp4,A girl or long haired person caressing a collie dog in the park on a sunny afternoon.
0,mixkit-dog-visiting-a-vet-15172.mp4,Dog visiting a Vet
0,mixkit-dog-playing-with-leaves-15160.mp4,Dog playing with leaves
0,mixkit-woman-and-her-dog-running-down-a-path-15157.mp4,Woman and her dog running down a path
0,mixkit-labrador-running-through-a-field-15123.mp4,Labrador running through a field
0,mixkit-vet-playing-with-a-patient-15105.mp4,Vet playing with a patient
0,mixkit-a-man-and-his-dog-walking-in-a-forest-on-1501.mp4,Front view of a man walking his dog on a forest. A white dog following his owner at nature on a sunny day.
0,mixkit-enjoying-a-glass-of-wine-with-her-dog-15002.mp4,Enjoying a glass of wine with her dog
0,mixkit-dog-waking-up-their-owner-14970.mp4,Dog waking up their owner
0,mixkit-woman-and-her-dog-cleaning-woodland-14941.mp4,Woman and her dog cleaning woodland
0,mixkit-dog-playing-with-wooden-stick-14702.mp4,Dog playing with wooden stick
0,mixkit-dog-tied-to-a-log-in-nature-14578.mp4,Dog tied to a log in nature
0,mixkit-woman-running-with-her-dog-through-the-forest-14473.mp4,Woman running with her dog through the forest
0,mixkit-dog-and-its-owners-on-the-seashore-14353.mp4,Dog and its owners on the seashore
0,mixkit-little-girl-plays-with-her-dog-on-the-grass-14276.mp4,Little girl plays with her dog on the grass
0,mixkit-couple-and-their-dog-walking-through-green-agricultural-fields-13962.mp4,Couple and their dog walking through green agricultural fields
0,mixkit-dog-walking-along-crop-fields-13961.mp4,Dog walking along crop fields
0,mixkit-puppy-swimming-in-a-pool-13950.mp4,Puppy swimming in a pool
0,mixkit-two-woman-riding-horses-on-the-field-and-a-dog-13874.mp4,Two woman riding horses on the field and a dog followa
0,mixkit-a-man-training-a-german-shepherd-dog-in-the-park-13185.mp4,A man training a german shepherd dog in the park
0,mixkit-millennial-girlfriends-walk-little-dog-on-forest-path-12862.mp4,Millennial girlfriends walk little dog on forest path
0,mixkit-taking-care-of-your-dog-in-the-park-10364.mp4,"Young woman lying on the grass with her little dachshund dog, while appreciating and lovingly petting him, in a park with many trees."
0,mixkit-friends-chatting-in-a-park-with-one-dog-each-10363.mp4,"Two young men and women, chatting in a park with grass, trees, benches and others, while they have their dogs each on a leash."
0,mixkit-couple-lying-down-in-a-park-resting-with-their-pets-10356.mp4,"Man and woman lying with their little dogs on the grass near a tree in a park, while looking, talking and petting their pets."
0,mixkit-pet-owner-spending-time-with-his-little-dog-in-a-10353.mp4,"Girl sitting on a log in a park, with her little dog on one side, while she points to something in the distance."
0,mixkit-girl-kissing-her-little-dog-in-a-park-10351.mp4,"Young woman kneeling in the middle of a park with grass and trees, while she carries her little dog, and gives her tender expressions of affection."
0,mixkit-wealthy-business-man-walking-with-his-doberman-dog-47518.mp4,Wealthy business man walking with his doberman dog
0,mixkit-black-and-white-dog-sitting-behind-bars-47445.mp4,Black and white dog sitting behind bars
0,mixkit-dog-behind-bar-gate-howling-47444.mp4,Dog behind bar gate howling
0,mixkit-white-dog-catching-a-tennis-ball-47281.mp4,White dog catching a tennis ball
0,mixkit-black-dog-catching-a-tennis-ball-47280.mp4,Black dog catching a tennis ball
0,mixkit-a-girl-and-her-brother-playing-and-petting-their-dog-46940.mp4,A girl and her brother playing and petting their dog at the park
0,mixkit-little-girl-caresses-and-kisses-her-dog-46939.mp4,Little girl caresses and kisses her dog
0,mixkit-young-boy-petting-and-playing-with-his-dog-46938.mp4,Young boy petting and playing with his dog
0,mixkit-woman-holds-and-pat-her-small-dog-46471.mp4,Woman holds and pat her small dog
0,mixkit-a-girl-playing-with-her-grey-cat-at-christmas-46154.mp4,A girl playing with her grey cat at Christmas
0,mixkit-woman-holding-her-grey-cat-at-christmas-46153.mp4,Woman holding her grey cat at Christmas
0,mixkit-groomer-carefully-clipping-a-dogs-claws-45891.mp4,Groomer carefully clipping a dog's claws
0,mixkit-dog-groomer-gently-trimming-the-fur-of-a-dog-45890.mp4,Dog groomer gently trimming the fur of a dog
0,mixkit-fluffy-dog-being-carefully-brushed-by-its-owner-45889.mp4,Fluffy dog being carefully brushed by its owner
0,mixkit-small-dogs-eyes-being-cleaned-gently-by-a-groomer-45888.mp4,Small dog's eyes being cleaned gently by a groomer
0,mixkit-small-fluffy-dog-being-trimmed-by-a-dog-groomer-45887.mp4,"Small, fluffy dog being trimmed by a dog groomer"
0,mixkit-small-pomeranian-being-washed-in-a-tub-by-a-groomer-45886.mp4,Small Pomeranian being washed in a tub by a groomer
0,mixkit-small-dog-being-washed-in-a-sink-at-a-dog-45885.mp4,Small dog being washed in a sink at a dog groomer
0,mixkit-close-up-of-a-groomer-brushing-through-a-dogs-coat-45884.mp4,Close up of a groomer brushing through a dog's coat
0,mixkit-close-up-of-a-dogs-fur-being-cut-by-a-45883.mp4,Close up of a dog's fur being cut by a dog groomer
0,mixkit-groomer-trimming-a-dogs-claws-with-a-speciality-tool-45882.mp4,Groomer trimming a dogs claws with a speciality tool
0,mixkit-corgi-puppy-playing-with-a-toy-with-its-owner-45873.mp4,Corgi puppy playing with a toy with its owner
0,mixkit-corgi-lying-in-the-grass-with-his-tongue-sticking-out-45872.mp4,Corgi lying in the grass with his tongue sticking out
0,mixkit-cute-corgi-running-through-the-grass-45871.mp4,Cute Corgi running through the grass
0,mixkit-corgi-panting-happily-after-a-run-in-the-park-45870.mp4,Corgi panting happily after a run in the park
0,mixkit-corgi-running-next-to-its-owner-at-the-park-45869.mp4,Corgi running next to its owner at the park
0,mixkit-young-corgi-chasing-after-a-tennis-ball-in-the-park-45868.mp4,Young Corgi chasing after a tennis ball in the park
0,mixkit-young-happy-corgi-getting-pats-from-its-owner-at-the-45867.mp4,"Young, happy Corgi getting pats from its owner at the park"
0,mixkit-cte-corgi-enjoying-getting-his-belly-rubbed-by-his-owner-45866.mp4,Cte corgi enjoying getting his belly rubbed by his owner
0,mixkit-side-view-of-a-corgi-looking-up-at-his-owner-45865.mp4,Side view of a corgi looking up at his owner waiting for a treat
0,mixkit-fluffy-corgi-sitting-in-in-the-grass-with-his-tongue-45864.mp4,Fluffy corgi sitting in in the grass with his tongue hanging out
0,mixkit-pug-panting-in-a-park-on-a-sunny-day-45845.mp4,Pug panting in a park on a sunny day
0,mixkit-happy-pug-running-across-a-busy-park-45844.mp4,Happy pug running across a busy park
0,mixkit-happy-pug-running-across-a-grassy-park-45843.mp4,Happy pug running across a grassy park
0,mixkit-chunky-pug-enjoying-being-petted-45842.mp4,Chunky pug enjoying being petted
0,mixkit-a-cute-pug-enjoying-pats-while-lying-on-the-grass-45841.mp4,A cute pug enjoying pats while lying on the grass
0,mixkit-a-pug-enjoying-a-lie-on-the-grass-with-its-45840.mp4,A pug enjoying a lie on the grass with its owner
0,mixkit-husky-with-its-tongue-out-panting-at-the-camera-45834.mp4,Husky with its tongue out panting at the camera
0,mixkit-husky-licking-its-lips-at-the-camera-against-a-white-45833.mp4,Husky licking its lips at the camera against a white background
0,mixkit-husky-dog-sitting-against-a-white-backgrounf-45832.mp4,Husky dog sitting against a white backgrounf
0,mixkit-a-white-and-black-dog-looking-at-the-camera-head-45828.mp4,A white and black dog looking at the camera head on
0,mixkit-dog-playing-with-a-stick-with-his-owner-in-the-45827.mp4,Dog playing with a stick with his owner in the snow
0,mixkit-loving-owner-giving-her-white-dog-pats-in-the-snow-45826.mp4,Loving owner giving her white dog pats in the snow
0,mixkit-owner-taking-a-selfie-with-her-pitbull-in-the-snow-45796.mp4,Owner taking a selfie with her pitbull in the snow
0,mixkit-pet-owner-attaching-a-leash-to-their-pet-pitbull-45795.mp4,Pet owner attaching a leash to their pet pitbull
0,mixkit-cute-pitbull-in-a-snow-jacket-shewing-on-a-toy-45794.mp4,Cute pitbull in a snow jacket shewing on a toy in the snow
0,mixkit-dog-owner-playing-with-a-pitbull-at-the-park-in-45793.mp4,Dog owner playing with a pitbull at the park in the snow
0,mixkit-man-in-a-field-with-his-trained-dog-39559.mp4,Man in a field with his trained dog
0,mixkit-man-training-his-dog-by-biting-a-protective-jacket-39552.mp4,Man training his dog by biting a protective jacket
0,mixkit-a-woman-with-her-dog-watching-the-sunset-4814.mp4,"A woman with her dog, watching from above, the city in the distance, while the sun sets on the horizon at dusk."
0,mixkit-horses-with-equestrians-and-a-dog-going-in-circles-on-13254.mp4,Horses with equestrians and a dog going in circles on the field
0,mixkit-ketchup-and-mustard-on-a-hot-dog-11759.mp4,Ketchup and mustard on a hot dog
0,mixkit-husky-sled-dogs-in-the-snow-7316.mp4,Husky sled dogs in the snow
0,mixkit-upward-and-downward-facing-dog-892.mp4,"Woman in activewear with her short brown hair in a pony tail starts to do yoga, first with warrior pose, then downward facing dog ending with upward facing dog, a large window in the background with plants in the windowsill."
0,mixkit-young-girl-and-her-dog-smiling-at-the-camera-6395.mp4,Young girl and her dog smiling at the camera
0,mixkit-giving-a-pet-dog-a-vaccine-21465.mp4,Giving a pet dog a vaccine
0,mixkit-dog-having-an-injection-14978.mp4,Dog having an injection
0,mixkit-two-people-walking-down-a-road-seen-from-above-41400.mp4,"Two people with their dog walking along a path in nature, in a view from above."
0,mixkit-little-smiling-girl-with-a-stuffed-toy-10470.mp4,"Little smiling girl looking directly into the lens, while playing with a dog plush, sitting on her bed, surrounded by stuffed animals and pillows."
0,mixkit-alpinist-climbing-a-mountain-in-aerial-view-43308.mp4,"Alpinist climbing a rocky mountain in an aerial view, using a rope and a harness, accompanied by a dog and a woman."
0,mixkit-female-mountaineer-climbing-a-huge-rock-43307.mp4,"Female mountaineer climbing a huge rock with the help of a harness and a rope and accompanied by a man and a dog, in an arid ecosystem."
0,mixkit-man-and-woman-climbers-climbing-a-big-rock-43316.mp4,"Man and woman with a dog practicing climing, starting to climb a large rock outside, in an arid environment."
0,mixkit-market-shoppers-992.mp4,"People walk in a market, carrying reusable shopping bags, one walking a dog on a leash."
0,mixkit-alpinist-climbing-a-huge-rock-in-a-desert-43306.mp4,"Male amateur mountaneer climbing a huge rock in a desert, accompanied by a woman and a dog in an aerial shot."
0,mixkit-urban-mural-on-the-gates-of-a-place-3497.mp4,Urban mural on the doors of a place about a family strolling along with their dog and paper bags on their heads.
